instance_name,method_name,used_time,initial_node_count,node_count,remained_node,time_limit,best_solution_value,best_solution
rrap_ns5_nh5_m2_g1.0_seed1,bab,0.0181327,3125,3189,0,0,0.925787,"0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed2,bab,0.0171449,3125,3125,0,0,0.889821,"0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	"
rrap_ns5_nh5_m2_g1.0_seed3,bab,0.0176072,3125,3131,0,0,0.904791,"0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed4,bab,0.71434,3125,22397,0,0,0.977058,"0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed1,bab,0.0740554,7776,8291,0,0,0.944266,"0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed2,bab,0.033737,7776,7783,0,0,0.932838,"0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed3,bab,0.155353,7776,10192,0,0,0.966735,"1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	"
rrap_ns5_nh6_m2_g1.0_seed4,bab,0.401534,7776,16335,0,0,0.98043,"1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	"
,,,,,,,,
rrap_ns5_nh5_m2_g1.0_seed1,bab,0.0140076,3125,3170,0,0,0.946642,"0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed2,bab,0.00997738,3125,3125,0,0,0.943472,"0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	"
rrap_ns5_nh5_m2_g1.0_seed3,bab,0.0174678,3125,3130,0,0,0.938949,"0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed4,bab,0.761635,3125,24193,0,0,0.990788,"0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed1,bab,0.0673971,7776,8069,0,0,0.972778,"0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed2,bab,0.0362651,7776,7783,0,0,0.963043,"0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed3,bab,0.160531,7776,10260,0,0,0.985272,"1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	"
rrap_ns5_nh6_m2_g1.0_seed4,bab,0.364442,7776,14949,0,0,0.988399,"1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	"
,,,,,,,,
rrap_ns6_nh5_m2_g1.0_seed1,bab,0.194055,15625,17000,0,0,0.976234,"0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	"
rrap_ns6_nh5_m2_g1.0_seed2,bab,0.150247,15625,16374,0,0,0.971145,"0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	"
rrap_ns6_nh5_m2_g1.0_seed3,bab,2.52085,15625,69700,0,0,0.988713,"3	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	"
