instance_name,method_name,used_time,initial_node_count,node_count,remained_node,time_limit,best_solution_value,best_solution
rrap_ns6_nh5_m2_g1.0_seed4,bab,2.12537,15625,56761,0,0,0.985984,"0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	"
rrap_ns6_nh6_m2_g1.0_seed1,bab,118.825,46656,2612458,0,0,0.996119,"0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	"
rrap_ns6_nh6_m2_g1.0_seed2,bab,7.93835,46656,188461,0,0,0.994277,"0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	"
rrap_ns6_nh6_m2_g1.0_seed3,bab,36.9623,46656,763271,0,0,0.997266,"0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	"
rrap_ns6_nh6_m2_g1.0_seed4,bab,0.43017,46656,48099,0,0,0.974418,"0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	"
,,,,,,,,
rrap_ns7_nh5_m2_g1.0_seed1,bab,22.707,78125,478397,0,0,0.983329,"3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	"
rrap_ns7_nh5_m2_g1.0_seed2,bab,0.873137,78125,82017,0,0,0.980635,"0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed3,bab,0.709201,78125,79865,0,0,0.958366,"0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed4,bab,129.612,78125,2335013,0,0,0.992938,"0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed1,bab,2.01899,279936,279936,0,0,0.884781,"0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed2,bab,799.567,279936,11373244,0,0,0.997306,"0	0	0	0	3	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	"
rrap_ns7_nh6_m2_g1.0_seed3,bab,2.89496,279936,287936,0,0,0.972601,"2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	"
rrap_ns7_nh6_m2_g1.0_seed4,bab,2.51552,279936,283538,0,0,0.966866,"2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	"
,,,,,,,,
rrap_ns7_nh5_m2_g1.0_seed1,bab,21.4307,78125,563389,0,0,0.980546,"1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0"
rrap_ns7_nh5_m2_g1.0_seed2,bab,0.566165,78125,82557,0,0,0.9621,"0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0"
rrap_ns7_nh5_m2_g1.0_seed3,bab,0.491825,78125,80342,0,0,0.94886,"0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0"
rrap_ns7_nh5_m2_g1.0_seed4,bab,127.421,78125,2992696,0,0,0.989897,"0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0"
rrap_ns7_nh6_m2_g1.0_seed1,bab,1.23074,279936,279936,0,0,0.876087,"0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0"
rrap_ns7_nh6_m2_g1.0_seed2,bab,921.365,279936,16383234,0,0,0.996922,"0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3"
rrap_ns7_nh6_m2_g1.0_seed3,bab,1.77234,279936,284976,0,0,0.963852,"1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1"
rrap_ns7_nh6_m2_g1.0_seed4,bab,1.58742,279936,283232,0,0,0.965896,"1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2"
,,,,,,,,
rrap_ns8_nh5_m2_g1.0_seed1,bab,39.3196,390625,1135837,0,0,0.943339,"0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	"
rrap_ns8_nh5_m2_g1.0_seed2,bab,912.307,390625,17620872,0,0,0.985388,"0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed3,bab,698.068,390625,12197193,0,0,0.971031,"2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed4,bab,5.91215,390625,470607,0,0,0.940962,"0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	"
rrap_ns8_nh6_m2_g1.0_seed1,bab,3600,1679616,53984355,475388,1,0.984502,"0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed2,bab,423.969,1679616,7789807,0,0,0.988047,"0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	"
rrap_ns8_nh6_m2_g1.0_seed3,bab,3600,1679616,54135291,717698,1,0.982974,"0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed4,bab,1052.1,1679616,17852205,0,0,0.965428,"3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	"
,,,,,,,,
rrap_ns8_nh5_m2_g1.0_seed1,bab,41.3438,390625,1199805,0,0,0.994969,"0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	"
rrap_ns8_nh5_m2_g1.0_seed2,bab,1435.35,390625,26305690,0,0,0.999692,"0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed3,bab,954.881,390625,18550895,0,0,0.998571,"1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed4,bab,6.11415,390625,474803,0,0,0.993782,"0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	"
rrap_ns8_nh6_m2_g1.0_seed1,bab,3600,1679616,57175596,773681,1,0.999255,"0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed2,bab,583.152,1679616,10698910,0,0,0.999213,"0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	"
rrap_ns8_nh6_m2_g1.0_seed3,bab,3600,1679616,58999713,1252156,1,0.998767,"0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed4,bab,1539.9,1679616,26535107,0,0,0.996332,"0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"
,,,,,,,,
rrap_ns9_nh5_m2_g1.0_seed1,bab,3600,1953125,58839388,939937,1,0.979523,"0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	"
rrap_ns9_nh5_m2_g1.0_seed2,bab,3600,1953125,61288068,1618751,1,0.986427,"0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	"
rrap_ns9_nh5_m2_g1.0_seed3,bab,3600,1953125,54352229,1306484,1,0.986587,"0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	"
rrap_ns9_nh5_m2_g1.0_seed4,bab,3600,1953125,56659804,1548340,1,0.988338,"0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed1,bab,3600,10077696,51582834,8558017,1,0.982716,"0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed2,bab,91.381,10077696,10251601,0,0,0.946176,"0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed3,bab,3600,10077696,50554142,1219334,1,0.97513,"0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed4,bab,109.625,10077696,10465610,0,0,0.942481,"0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	"
,,,,,,,,
rrap_ns10_nh5_m2_g1.0_seed1,bab,3600,9765625,66149777,8974885,1,0.945926,"0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed2,bab,3600,9765625,61627108,7516018,1,0.939812,"0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	"
rrap_ns10_nh5_m2_g1.0_seed3,bab,58.0124,9765625,9772361,0,0,0.855879,"0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed4,bab,89.0654,9765625,10154992,0,0,0.869938,"0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed1,bab,3600,60466176,96492017,54987553,1,0.948154,"0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	"
rrap_ns10_nh6_m2_g1.0_seed2,bab,423.353,60466176,60698934,0,0,0.89736,"0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed3,bab,3600,60466176,99935903,53743652,1,0.927613,"0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	"
rrap_ns10_nh6_m2_g1.0_seed4,bab,431.923,60466176,60723551,0,0,0.866225,"0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	"
,,,,,,,,
rrap_ns10_nh5_m2_g1.0_seed1,bab,3600,9765625,55621816,7120007,1,0.838614,"0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed2,bab,3600,9765625,60462058,6294351,1,0.792939,"0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	"
rrap_ns10_nh5_m2_g1.0_seed3,bab,59.1587,9765625,9778340,0,0,0.56952,"0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed4,bab,88.4379,9765625,10077354,0,0,0.661787,"0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed1,bab,3600,60466176,92385075,50217081,1,0.809939,"0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	"
rrap_ns10_nh6_m2_g1.0_seed2,bab,426.116,60466176,60772287,0,0,0.621139,"0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed3,bab,3600,60466176,96189397,51855986,1,0.810453,"0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	"
rrap_ns10_nh6_m2_g1.0_seed4,bab,437.501,60466176,60901606,0,0,0.55454,"0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	"
