instance,index_of_system,number_of_subsystems,number_of_component_types,number_of_resource_types,number_of_q_terms,number_of_q_factors,average_of_q_factors,number_of_q_nodes,number_of_q_sorted_nodes,number_of_qr_terms,number_of_qr_factors,average_of_qr_factors,number_of_qr_nodes,number_of_qr_sorted_nodes,solution_model,number_of_vars,number_of_bin_vars,number_of_cons,number_of_nzs,number_of_bb_nodes,cpu_time,obj,time_limit,mip_gap,solution
rrap_ns5_nh6_m2_g1.0_seed2,2,5,6,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],515,76,160,1536,81,0.211413,0.963043,0,0,"0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed3,2,5,6,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],629,98,182,2023,1339,0.432953,0.985272,0,0,"1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	"
rrap_ns5_nh6_m2_g1.0_seed4,2,5,6,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],679,105,189,2226,2603,0.544274,0.988399,0,0,"1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	"
rrap_ns6_nh5_m2_g1.0_seed1,3,6,5,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],742,102,197,2377,5049,0.862216,0.976234,0,0,"0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	"
rrap_ns6_nh5_m2_g1.0_seed2,3,6,5,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],654,91,186,2025,1040,0.299353,0.971145,0,0,"0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"
rrap_ns6_nh5_m2_g1.0_seed3,3,6,5,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],882,124,219,2955,2180,0.595265,0.988713,0,0,"3	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	"
rrap_ns6_nh5_m2_g1.0_seed4,3,6,5,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],864,121,216,2880,12700,1.99768,0.985984,0,0,"0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	"
rrap_ns6_nh6_m2_g1.0_seed1,3,6,6,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],1256,182,296,4376,166044,19.4284,0.996119,0,0,"0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	"
rrap_ns6_nh6_m2_g1.0_seed2,3,6,6,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],1032,146,260,3448,22646,3.49317,0.994277,0,0,"0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	"
rrap_ns6_nh6_m2_g1.0_seed3,3,6,6,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],1198,171,285,4129,31613,4.91826,0.997267,0,0,"0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	"
rrap_ns6_nh6_m2_g1.0_seed4,3,6,6,2,10,42,4.20 ,23,19,9,33,3.67 ,29,19,[Q-OB-TREE],846,115,229,2673,3284,0.79354,0.974418,0,0,"0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed1,4,7,5,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],2198,162,377,7131,19835,6.32179,0.983329,0,0,"3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	"
rrap_ns7_nh5_m2_g1.0_seed2,4,7,5,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],1644,117,332,5012,1668,0.544891,0.980635,0,0,"0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed3,4,7,5,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],1726,124,339,5327,5090,1.80913,0.958366,0,0,"0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed4,4,7,5,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],2460,185,400,8140,56250,11.6288,0.992941,0,0,"0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed1,4,7,6,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],1543,103,361,4368,663,0.49791,0.884781,0,0,"0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed2,4,7,6,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],3097,227,485,10303,94594,21.1308,0.997309,0,0,"0	0	0	0	3	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	"
rrap_ns7_nh6_m2_g1.0_seed3,4,7,6,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],2071,145,403,6384,6842,1.88305,0.972601,0,0,"2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	"
rrap_ns7_nh6_m2_g1.0_seed4,4,7,6,2,24,108,4.50 ,48,43,13,53,4.08 ,44,29,[Q-OB-TREE],2011,138,396,6146,3802,1.40706,0.966866,0,0,"2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	"
rrap_ns7_nh5_m2_g1.0_seed1,5,7,5,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1963,162,352,6394,42777,8.75268,0.980546,0,0,"1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	"
rrap_ns7_nh5_m2_g1.0_seed2,5,7,5,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1423,117,307,4324,1130,0.722518,0.9621,0,0,"0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	"
rrap_ns7_nh5_m2_g1.0_seed3,5,7,5,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1563,124,314,4842,7680,2.23226,0.94886,0,0,"0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	"
rrap_ns7_nh5_m2_g1.0_seed4,5,7,5,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],2191,185,375,7284,44751,8.75522,0.989901,0,0,"0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed1,5,7,6,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1379,103,331,3902,798,0.65421,0.876087,0,0,"0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"
rrap_ns7_nh6_m2_g1.0_seed2,5,7,6,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],2675,227,455,8934,58852,11.0309,0.996926,0,0,"0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	"
rrap_ns7_nh6_m2_g1.0_seed3,5,7,6,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1757,145,373,5393,5159,1.38671,0.963852,0,0,"1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	"
rrap_ns7_nh6_m2_g1.0_seed4,5,7,6,2,26,124,4.77 ,51,38,19,84,4.42 ,53,38,[Q-OB-TREE],1739,138,366,5302,5053,2.18747,0.965896,0,0,"1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	"
rrap_ns8_nh5_m2_g1.0_seed1,6,8,5,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],4463,180,610,14052,49950,28.3548,0.94334,0,0,"0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	"
rrap_ns8_nh5_m2_g1.0_seed2,6,8,5,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],5293,230,660,17157,54612,25.4484,0.9854,0,0,"0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed3,6,8,5,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],5121,216,646,16499,159228,85.1247,0.971036,0,0,"2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed4,6,8,5,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],3843,152,582,11770,14826,4.52277,0.940963,0,0,"0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	"
rrap_ns8_nh6_m2_g1.0_seed1,6,8,6,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],6410,276,792,20816,91853,32.6281,0.98451,0,0,"0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed2,6,8,6,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],5716,234,750,18219,19645,10.4699,0.988049,0,0,"0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	"
rrap_ns8_nh6_m2_g1.0_seed3,6,8,6,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],6642,281,797,21648,572543,217.692,0.982984,0,0,"0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed4,6,8,6,2,64,333,5.20 ,117,86,24,120,5.00 ,64,49,[Q-OB-TREE],5458,238,754,17332,719522,209.695,0.965436,0,0,"3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed1,7,8,5,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],2867,180,465,9183,43138,12.6972,0.994977,0,0,"0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	"
rrap_ns8_nh5_m2_g1.0_seed2,7,8,5,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],3485,230,515,11546,89067,16.6369,0.999696,0,0,"0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed3,7,8,5,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],3303,216,501,10853,524985,96.6903,0.998572,0,0,"1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	"
rrap_ns8_nh5_m2_g1.0_seed4,7,8,5,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],2489,152,437,7748,21870,5.34586,0.993785,0,0,"0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	"
rrap_ns8_nh6_m2_g1.0_seed1,7,8,6,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],4305,276,618,14296,666548,121.393,0.999258,0,0,"0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed2,7,8,6,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],3859,234,576,12567,46871,10.5991,0.999213,0,0,"0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	"
rrap_ns8_nh6_m2_g1.0_seed3,7,8,6,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],4299,281,623,14295,2.05E+06,383.31,0.998771,0,0,"0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	"
rrap_ns8_nh6_m2_g1.0_seed4,7,8,6,2,34,194,5.71 ,77,57,25,130,5.20 ,87,56,[Q-OB-TREE],3623,238,580,11757,1.03E+06,169.604,0.996336,0,0,"0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"
rrap_ns9_nh5_m2_g1.0_seed1,8,9,5,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],7040,270,810,22917,503178,286.231,0.98097,0,0,"0	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0"
rrap_ns9_nh5_m2_g1.0_seed2,8,9,5,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],7400,294,834,24273,2.28E+06,893.349,0.992224,0,0,"0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	"
rrap_ns9_nh5_m2_g1.0_seed3,8,9,5,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],7360,291,831,24121,1.45E+06,793.389,0.987853,0,0,"0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	"
rrap_ns9_nh5_m2_g1.0_seed4,8,9,5,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],7286,283,823,23830,753492,283.1,0.98835,0,0,"0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed1,8,9,6,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],8312,319,967,27025,4.64E+06,1656.43,0.985655,0,0,"0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed2,8,9,6,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],5548,202,850,16883,9861,3.84995,0.946178,0,0,"0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed3,8,9,6,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],7232,274,922,23065,551768,228.023,0.977813,0,0,"1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	"
rrap_ns9_nh6_m2_g1.0_seed4,8,9,6,2,71,430,6.06 ,128,108,48,284,5.92 ,132,99,[Q-OB-TREE],5854,220,868,18026,23060,6.65364,0.942481,0,0,"0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed1,9,10,5,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],9995,341,1021,32819,457249,105.188,0.956871,0,0,"1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed2,9,10,5,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],9185,302,982,29828,406414,117.325,0.944337,0,0,"0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	"
rrap_ns10_nh5_m2_g1.0_seed3,9,10,5,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],6045,194,874,18406,1148,0.944585,0.855879,0,0,"0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed4,9,10,5,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],6363,209,889,19579,6638,2.52287,0.869939,0,0,"0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed1,9,10,6,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],10492,354,1170,33938,314133,129.279,0.959403,0,0,"1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	"
rrap_ns10_nh6_m2_g1.0_seed2,9,10,6,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],7512,242,1058,23060,2984,2.57121,0.897362,0,0,"0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	"
rrap_ns10_nh6_m2_g1.0_seed3,9,10,6,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],9462,320,1136,30197,197747,89.0519,0.934334,0,0,"0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	"
rrap_ns10_nh6_m2_g1.0_seed4,9,10,6,2,87,504,5.79 ,142,136,14,79,5.64 ,51,35,[Q-OB-TREE],7962,254,1070,24683,23240,6.75559,0.866229,0,0,"0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	"
rrap_ns10_nh5_m2_g1.0_seed1,10,10,5,2,99,540,5.45 ,133,108,9,60,6.67 ,29,26,[Q-OB-TREE],7881,341,881,25948,9371,4.3136,0.865306,0,0,"0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	3	0	0	0	"
rrap_ns10_nh5_m2_g1.0_seed2,10,10,5,2,99,540,5.45 ,133,108,9,60,6.67 ,29,26,[Q-OB-TREE],7301,302,842,23762,61487,23.6563,0.796041,0,0,"0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	"
