instance,index_of_system,number_of_subsystems,number_of_component_types,number_of_resource_types,number_of_q_terms,number_of_q_factors,average_of_q_factors,number_of_q_nodes,number_of_q_sorted_nodes,number_of_qr_terms,number_of_qr_factors,average_of_qr_factors,number_of_qr_nodes,number_of_qr_sorted_nodes,solution_model,number_of_vars,number_of_bin_vars,number_of_cons,number_of_nzs,number_of_bb_nodes,cpu_time,obj,time_limit,mip_gap,solution
rrap_ns5_nh5_m2_g1.0_seed1,1,5,5,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],534,67,152,1587,136,0.19683,0.925787,0,0,"0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed2,1,5,5,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],518,62,147,1511,47,0.165719,0.889821,0,0,"0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	"
rrap_ns5_nh5_m2_g1.0_seed3,1,5,5,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],514,60,145,1489,141,0.192783,0.904791,0,0,"0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed4,1,5,5,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],754,99,184,2485,18371,1.77074,0.977058,0,0,"0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed1,1,5,6,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],735,95,197,2298,3942,1.18478,0.944266,0,0,"0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed2,1,5,6,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],635,76,178,1872,187,0.214449,0.932838,0,0,"0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed3,1,5,6,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],767,98,200,2422,2006,0.95665,0.966735,0,0,"1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	"
rrap_ns5_nh6_m2_g1.0_seed4,1,5,6,2,10,35,3.50 ,20,17,7,23,3.29 ,21,15,[Q-OB-TREE],829,105,207,2667,2879,0.950556,0.98043,0,0,"1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	"
rrap_ns5_nh5_m2_g1.0_seed1,2,5,5,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],431,67,137,1297,140,0.196249,0.946643,0,0,"0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed2,2,5,5,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],401,62,132,1172,1,0.0711998,0.943472,0,0,"0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	"
rrap_ns5_nh5_m2_g1.0_seed3,2,5,5,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],425,60,130,1248,94,0.15886,0.938949,0,0,"0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	"
rrap_ns5_nh5_m2_g1.0_seed4,2,5,5,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],647,99,169,2181,7894,1.70821,0.990788,0,0,"0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	"
rrap_ns5_nh6_m2_g1.0_seed1,2,5,6,2,9,32,3.56 ,21,14,5,15,3.00 ,14,11,[Q-OB-TREE],591,95,179,1878,1391,0.433237,0.972778,0,0,"0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	"
