instance_name,index_of_system,number_of_subsystems,method_name,used_time,initial_node_count,node_count,remained_node,time_limit,best_solution_value,best_solution
rrap_ns5_nh2_m2_g0.5_seed1,1,5,BB,0.00769736,32,451,0,0,0.927963,"1	0	1	0	1	2	2	0	0	1	"
rrap_ns5_nh2_m2_g0.5_seed2,1,5,BB,0.0015587,32,99,0,0,0.884346,"1	1	0	2	1	0	1	0	1	0"
rrap_ns5_nh2_m2_g0.5_seed3,1,5,BB,0.00193051,32,151,0,0,0.891097,"1	0	0	2	3	0	0	1	0	1	"
rrap_ns5_nh2_m2_g0.5_seed4,1,5,BB,0.0023679,32,162,0,0,0.921159,"0	2	1	0	0	2	0	2	0	1"
rrap_ns5_nh3_m2_g0.5_seed1,1,5,BB,0.0317833,243,1494,0,0,0.909245,"2	0	0	2	0	0	0	0	1	0	0	1	0	1	0	"
rrap_ns5_nh3_m2_g0.5_seed2,1,5,BB,0.12854,243,5486,0,0,0.965817,"0	0	1	0	0	1	2	1	0	1	2	0	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed3,1,5,BB,0.0357896,243,1611,0,0,0.936983,"0	0	1	1	0	0	3	0	0	0	0	2	0	0	1	"
rrap_ns5_nh3_m2_g0.5_seed4,1,5,BB,0.00358348,243,412,0,0,0.829835,"3	0	0	0	1	0	0	1	0	0	1	0	0	0	1	"
rrap_ns5_nh4_m2_g0.5_seed1,1,5,BB,0.0583361,1024,2979,0,0,0.918972,"0	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	"
rrap_ns5_nh4_m2_g0.5_seed2,1,5,BB,0.00826692,1024,1113,0,0,0.837946,"1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	"
rrap_ns5_nh4_m2_g0.5_seed3,1,5,BB,0.794399,1024,27838,0,0,0.96006,"0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	"
rrap_ns5_nh4_m2_g0.5_seed4,1,5,BB,0.416174,1024,14999,0,0,0.94592,"1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed1,1,5,BB,0.0727931,3125,4855,0,0,0.906058,"0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed2,1,5,BB,0.182441,3125,8093,0,0,0.927575,"1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	"
rrap_ns5_nh5_m2_g0.5_seed3,1,5,BB,3.04247,3125,90027,0,0,0.95735,"0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	"
rrap_ns5_nh5_m2_g0.5_seed4,1,5,BB,4.43911,3125,123399,0,0,0.971323,"0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	1	"
rrap_ns5_nh6_m2_g0.5_seed1,1,5,BB,0.485538,7776,19392,0,0,0.927603,"0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	"
rrap_ns5_nh6_m2_g0.5_seed2,1,5,BB,7.4387,7776,219646,0,0,0.953894,"0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	"
rrap_ns5_nh6_m2_g0.5_seed3,1,5,BB,2.56607,7776,70250,0,0,0.946576,"0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	"
