instance_name,index_of_system,number_of_subsystems,method_name,used_time,initial_node_count,node_count,best_solution_value,best_solution
rrap_ns6_nh4_m2_seed3,3,6,bab,0.033405,4096,4760,0.953479,"0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	0	0	0	2	0	1	0	0	0	"
rrap_ns6_nh4_m2_seed4,3,6,bab,0.0394984,4096,4925,0.94908,"0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	3	0	0	0	1	0	"
rrap_ns7_nh2_m2_seed1,4,7,bab,0.130625,128,4688,0.976002,"0	4	0	3	0	1	0	1	1	0	1	0	1	0	"
rrap_ns7_nh2_m2_seed2,4,7,bab,0.036906,128,1548,0.946388,"2	0	3	0	1	0	1	0	1	0	1	0	0	1	"
rrap_ns7_nh2_m2_seed3,4,7,bab,0.0279131,128,1128,0.974535,"3	0	4	0	1	0	0	1	1	0	1	0	1	0	"
rrap_ns7_nh2_m2_seed4,4,7,bab,0.041983,128,1115,0.959839,"0	4	0	3	1	0	1	0	1	0	0	1	0	1	"
rrap_ns7_nh3_m2_seed1,4,7,bab,0.997859,2187,46203,0.970146,"0	4	0	0	3	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	"
rrap_ns7_nh3_m2_seed2,4,7,bab,1.29566,2187,59367,0.983612,"3	1	0	0	0	4	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	"
rrap_ns7_nh3_m2_seed3,4,7,bab,0.187001,2187,7008,0.964818,"0	0	4	1	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	"
rrap_ns7_nh3_m2_seed4,4,7,bab,1.07348,2187,30580,0.981349,"0	4	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	"
rrap_ns7_nh4_m2_seed1,4,7,bab,0.40887,16384,24469,0.934329,"1	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0"
rrap_ns7_nh4_m2_seed2,4,7,bab,0.253529,16384,21134,0.946332,"0	2	0	0	0	0	0	3	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	"
rrap_ns7_nh4_m2_seed3,4,7,bab,2.64899,16384,112465,0.977553,"0	0	0	4	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	"
rrap_ns7_nh4_m2_seed4,4,7,bab,1.64992,16384,54390,0.966616,"0	4	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	"

rrap_ns7_nh2_m2_seed1,5,7,bab,0.117038,128,4433,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3	"
rrap_ns7_nh2_m2_seed2,5,7,bab,0.0337824,128,1154,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4	"
rrap_ns7_nh2_m2_seed3,5,7,bab,0.0260868,128,1529,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0	"
rrap_ns7_nh2_m2_seed4,5,7,bab,0.0299004,128,1151,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2	"
rrap_ns7_nh3_m2_seed1,5,7,bab,1.60451,2187,54400,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	"
rrap_ns7_nh3_m2_seed2,5,7,bab,2.4238,2187,80741,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,bab,0.18876,2187,6883,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0	"
rrap_ns7_nh3_m2_seed4,5,7,bab,1.297,2187,42686,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,bab,0.540703,16384,27444,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	"
rrap_ns7_nh4_m2_seed2,5,7,bab,0.265934,16384,21404,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	"
rrap_ns7_nh4_m2_seed3,5,7,bab,4.95274,16384,175732,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	4	"
rrap_ns7_nh4_m2_seed4,5,7,bab,1.8234,16384,60900,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns8_nh2_m2_seed1,6,8,bab,0.125292,256,4506,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0	"
rrap_ns8_nh2_m2_seed2,6,8,bab,0.0575608,256,2274,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0	"
rrap_ns8_nh2_m2_seed3,6,8,bab,0.0221091,256,1407,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0	"
rrap_ns8_nh2_m2_seed4,6,8,bab,0.0229245,256,958,0.926089,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0	"
rrap_ns8_nh3_m2_seed1,6,8,bab,2.49101,6561,116207,0.943802,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0	"
rrap_ns8_nh3_m2_seed2,6,8,bab,8.83561,6561,360280,0.964835,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	"
rrap_ns8_nh3_m2_seed3,6,8,bab,9.79304,6561,394063,0.976913,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	"
rrap_ns8_nh3_m2_seed4,6,8,bab,27.142,6561,1156987,0.984792,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,bab,0.386878,65536,67133,0.927419,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	"
rrap_ns8_nh4_m2_seed2,6,8,bab,90.9549,65536,3434963,0.970908,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	"
rrap_ns8_nh4_m2_seed3,6,8,bab,11.5108,65536,423920,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	"
rrap_ns8_nh4_m2_seed4,6,8,bab,30.281,65536,1117072,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,7,8,bab,0.258402,256,8404,0.992823,"3	0	1	0	2	0	0	1	0	1	2	1	0	1	1	0	"
rrap_ns8_nh2_m2_seed2,7,8,bab,0.0691887,256,2944,0.983266,"1	0	0	1	3	0	0	1	1	0	0	2	1	0	2	0	"
rrap_ns8_nh2_m2_seed3,7,8,bab,0.0265931,256,1750,0.970729,"0	2	0	1	0	1	0	1	0	1	3	0	0	1	1	0	"
rrap_ns8_nh2_m2_seed4,7,8,bab,0.0305633,256,1279,0.988702,"1	0	0	1	3	0	1	0	0	1	1	0	0	1	3	0	"
rrap_ns8_nh3_m2_seed1,7,8,bab,4.02056,6561,176046,0.995478,"0	0	1	0	0	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	0	3	0	0	"
rrap_ns8_nh3_m2_seed2,7,8,bab,16.2157,6561,760068,0.997124,"0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	1	0	"
rrap_ns8_nh3_m2_seed3,7,8,bab,13.7395,6561,597778,0.998743,"1	0	0	0	0	1	2	2	0	0	1	0	1	0	0	1	0	0	1	0	0	3	0	0	"
rrap_ns8_nh3_m2_seed4,7,8,bab,43.9481,6561,2007965,0.998729,"0	2	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	3	0	"
rrap_ns8_nh4_m2_seed1,7,8,bab,0.409123,65536,67837,0.988138,"0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	"
rrap_ns8_nh4_m2_seed2,7,8,bab,148.956,65536,5818064,0.998734,"0	0	1	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	"
rrap_ns8_nh4_m2_seed3,7,8,bab,13.7897,65536,536329,0.996087,"0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	"
rrap_ns8_nh4_m2_seed4,7,8,bab,48.2747,65536,2078570,0.993827,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	"
rrap_ns9_nh2_m2_seed1,8,9,bab,1.21591,512,54554,0.967735,"1	0	0	3	0	1	1	0	1	0	0	2	1	0	0	1	0	3	"
rrap_ns9_nh2_m2_seed2,8,9,bab,2.18263,512,83600,0.990286,"0	2	0	2	0	1	4	0	1	0	0	1	1	0	4	0	0	1	"
rrap_ns9_nh2_m2_seed3,8,9,bab,4.42774,512,190467,0.984353,"2	0	2	0	0	1	0	2	1	0	2	0	1	0	0	2	4	0	"
rrap_ns9_nh2_m2_seed4,8,9,bab,5.41614,512,234178,0.988563,"1	0	4	0	1	0	1	0	1	0	0	3	1	0	0	1	2	2	"
rrap_ns9_nh3_m2_seed1,8,9,bab,60.2876,19683,2316310,0.989579,"0	3	0	0	0	1	0	1	0	2	0	1	0	0	1	0	0	1	0	0	1	0	3	0	0	1	0	"
rrap_ns9_nh3_m2_seed2,8,9,bab,0.527141,19683,29740,0.916109,"0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2	"
rrap_ns9_nh3_m2_seed3,8,9,bab,1.77197,19683,87492,0.943197,"0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	2	0	0	"
rrap_ns9_nh3_m2_seed4,8,9,bab,9.57528,19683,378606,0.960554,"0	2	0	0	0	2	0	0	1	0	1	0	1	0	0	0	2	0	1	0	0	2	0	0	0	1	1	"
rrap_ns9_nh4_m2_seed1,8,9,bab,506.959,262144,15719200,0.990452,"1	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2	"
rrap_ns9_nh4_m2_seed2,8,9,bab,566.993,262144,18508014,0.977688,"0	0	3	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	1	"
rrap_ns9_nh4_m2_seed3,8,9,bab,109.617,262144,3637577,0.975302,"0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	"
rrap_ns9_nh4_m2_seed4,8,9,bab,114.727,262144,3862649,0.972413,"0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	2	0	2	0	0	"
rrap_ns10_nh2_m2_seed1,9,10,bab,0.160892,1024,4850,0.880582,"0	1	0	1	1	0	1	0	2	0	2	0	1	0	0	1	1	1	0	2	"
rrap_ns10_nh2_m2_seed2,9,10,bab,1.20947,1024,30494,0.928186,"0	1	1	0	0	2	0	3	0	1	1	0	2	0	1	0	0	1	0	4	"
rrap_ns10_nh2_m2_seed3,9,10,bab,11.4276,1024,338255,0.944541,"0	1	0	1	2	0	0	3	2	0	1	0	2	0	0	1	1	0	1	3	"
rrap_ns10_nh2_m2_seed4,9,10,bab,15.535,1024,506221,0.969581,"0	1	1	0	3	0	3	0	1	0	0	1	0	1	0	1	2	0	0	4	"
rrap_ns10_nh3_m2_seed1,9,10,bab,14.8293,59049,430157,0.904823,"0	1	0	0	0	1	1	0	0	0	1	0	2	0	0	2	0	0	0	0	1	2	0	0	0	1	0	1	0	2	"
rrap_ns10_nh3_m2_seed2,9,10,bab,37.017,59049,1083188,0.911652,"1	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	1	2	0	0	1	1	0	0	0	0	1	0	0	3	"
rrap_ns10_nh3_m2_seed3,9,10,bab,78.8382,59049,2457393,0.937487,"0	1	0	0	1	0	0	2	0	0	3	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	4	0	0	"
rrap_ns10_nh3_m2_seed4,9,10,bab,5.79853,59049,211021,0.885894,"0	1	0	0	1	0	0	0	1	1	1	0	0	2	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	3	"
rrap_ns10_nh4_m2_seed1,9,10,bab,749.455,1048576,18110312,0.943704,"1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	0	3	0	0	0	"
rrap_ns10_nh4_m2_seed2,9,10,bab,10800.1,1048576,259948266,0.947554,"0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	1	"
rrap_ns10_nh4_m2_seed3,9,10,bab,205.213,1048576,5176348,0.926174,"0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	4	"
rrap_ns10_nh4_m2_seed4,9,10,bab,151.796,1048576,4176780,0.923952,"1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	1	0	"
rrap_ns10_nh2_m2_seed1,10,10,bab,0.100689,1024,2669,0.674328,"0	1	0	1	1	0	2	0	2	0	1	0	1	0	0	1	2	2	0	1	"
rrap_ns10_nh2_m2_seed2,10,10,bab,0.331164,1024,4885,0.717959,"0	1	1	0	0	1	0	2	0	2	1	0	1	0	1	0	1	2	0	3	"
rrap_ns10_nh2_m2_seed3,10,10,bab,0.88583,1024,16413,0.87103,"0	1	0	1	0	1	0	3	4	0	0	1	1	0	0	1	3	0	1	2	"
rrap_ns10_nh2_m2_seed4,10,10,bab,0.952001,1024,16182,0.922681,"1	0	1	0	1	0	2	1	4	0	0	1	0	1	0	1	4	0	0	3	"
rrap_ns10_nh3_m2_seed1,10,10,bab,7.54219,59049,217678,0.729297,"0	1	0	0	1	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	2	2	0	0	"
rrap_ns10_nh3_m2_seed2,10,10,bab,14.0435,59049,367291,0.802967,"1	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	3	0	0	2	"
rrap_ns10_nh3_m2_seed3,10,10,bab,24.1656,59049,692384,0.813812,"0	1	0	0	1	0	0	1	0	2	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	2	0	3	0	0	"
rrap_ns10_nh3_m2_seed4,10,10,bab,2.57785,59049,98948,0.701478,"0	1	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	2	"
rrap_ns10_nh4_m2_seed1,10,10,bab,256.469,1048576,5527802,0.844491,"1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	"
rrap_ns10_nh4_m2_seed2,10,10,bab,2586.74,1048576,54764032,0.834673,"0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	2	0	"
rrap_ns10_nh4_m2_seed3,10,10,bab,67.8056,1048576,1924604,0.759112,"0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	"
rrap_ns10_nh4_m2_seed4,10,10,bab,102.313,1048576,2901593,0.820857,"0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	0	0	"
rrap_ns12_nh2_m2_seed1,11,12,bab,501.316,4096,12506808,0,0,0.993719,"1	0	1	3	0	1	1	0	0	1	6	0	0	1	1	0	1	0	1	0	1	0	3	2	"
rrap_ns12_nh2_m2_seed2,11,12,bab,6.57026,4096,170251,0,0,0.989402,"1	0	0	4	0	1	1	0	1	0	0	3	0	1	0	1	1	0	0	1	0	1	0	3	"
rrap_ns12_nh2_m2_seed3,11,12,bab,10.0293,4096,348261,0,0,0.932832,"0	1	0	3	0	1	0	1	1	0	0	2	0	1	0	1	1	0	1	0	0	2	3	0	"
rrap_ns12_nh2_m2_seed4,11,12,bab,8.79365,4096,249696,0,0,0.963456,"0	2	1	1	1	0	1	0	1	0	0	3	1	0	1	0	0	1	1	0	1	0	4	0	"
rrap_ns12_nh3_m2_seed1,11,12,bab,29977.7,531441,317161849,0,0,0.995755,"1	0	0	0	4	0	1	0	0	1	0	0	1	0	0	4	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	4	"
rrap_ns12_nh3_m2_seed2,11,12,bab,974.872,531441,24463880,0,0,0.95387,"1	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	3	0	0	"
rrap_ns12_nh3_m2_seed3,11,12,bab,4864.83,531441,91299662,0,0,0.978487,"0	0	1	0	3	0	1	0	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	3	0	"
rrap_ns12_nh3_m2_seed4,11,12,bab,8310.79,531441,147091788,0,0,0.972983,"1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	3	0	0	2	0	"
rrap_ns12_nh4_m2_seed1,11,12,bab,17154.1,16777216,216451369,0,0,0.971012,"0	0	1	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	"
rrap_ns12_nh4_m2_seed2,11,12,bab,172800,16777216,2725776401,9219284,1,0.993797,"0	0	1	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	"
rrap_ns12_nh4_m2_seed3,11,12,bab,3485.7,16777216,70012757,0,0,0.956078,"1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	3	0	"
rrap_ns12_nh4_m2_seed4,11,12,bab,746.106,16777216,28433045,0,0,0.967123,"0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	3	0	0	"
rrap_ns12_nh2_m2_seed1,12,12,bab,289.088,4096,6965049,0,0,0.991359,"4	0	0	1	0	1	1	0	1	0	6	0	0	1	1	0	1	0	1	0	3	1	1	0	"
rrap_ns12_nh2_m2_seed2,12,12,bab,9.11631,4096,289907,0,0,0.947777,"4	0	0	1	1	0	1	0	0	1	0	2	0	1	0	1	1	0	0	1	1	1	0	2	"
rrap_ns12_nh2_m2_seed3,12,12,bab,8.43478,4096,250443,0,0,0.902991,"2	1	0	1	0	1	0	1	1	0	0	2	1	0	0	1	1	0	1	0	0	3	1	0	"
rrap_ns12_nh2_m2_seed4,12,12,bab,7.89781,4096,204170,0,0,0.948478,"0	3	1	0	1	0	1	0	1	0	1	2	1	0	1	0	0	1	1	0	3	0	1	0	"
rrap_ns12_nh3_m2_seed1,12,12,bab,25855.5,531441,302780761,0,0,0.991762,"0	0	6	0	1	0	1	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	1	3	0	0	0	0	2	"
rrap_ns12_nh3_m2_seed2,12,12,bab,823.366,531441,19251901,0,0,0.942206,"3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	"
rrap_ns12_nh3_m2_seed3,12,12,bab,2498.37,531441,42692838,0,0,0.982897,"0	0	3	0	1	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	4	0	1	0	"
rrap_ns12_nh3_m2_seed4,12,12,bab,4841.31,531441,80080456,0,0,0.978423,"3	0	1	1	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	4	0	1	0	0	"
rrap_ns12_nh4_m2_seed1,12,12,bab,15724.2,16777216,221085386,0,0,0.942198,"0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	"
rrap_ns12_nh4_m2_seed2,12,12,bab,172800,16777216,2610710809,4991872,1,0.992764,"0	0	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	"
rrap_ns12_nh4_m2_seed3,12,12,bab,2788.14,16777216,59482861,0,0,0.948053,"3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	"
rrap_ns12_nh4_m2_seed4,12,12,bab,658.187,16777216,27294831,0,0,0.952199,"0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	"
