instance_name,index_of_system,number_of_subsystems,method_name,used_time,initial_node_count,node_count,best_solution_value,best_solution
rrap_ns5_nh2_m2_seed1,1,5,bab,0.00596946,32,368,0.969804,"0	1	0	1	3	0	3	0	0	1	"
rrap_ns5_nh2_m2_seed2,1,5,bab,0.00813139,32,475,0.985676,"1	0	0	1	0	3	0	4	1	0	"
rrap_ns5_nh2_m2_seed3,1,5,bab,0.00108271,32,112,0.918141,"0	3	2	0	1	0	1	0	0	1	"
rrap_ns5_nh2_m2_seed4,1,5,bab,0.0064155,32,430,0.956925,"3	0	3	0	1	0	0	1	0	1	"
rrap_ns5_nh3_m2_seed1,1,5,bab,0.039125,243,3109,0.96898,"0	1	0	0	0	1	2	0	0	0	0	4	0	1	0	"
rrap_ns5_nh3_m2_seed2,1,5,bab,0.0178977,243,1591,0.944698,"0	1	1	3	0	0	1	0	0	0	1	0	0	1	0	"
rrap_ns5_nh3_m2_seed3,1,5,bab,0.0299225,243,1422,0.946068,"0	0	2	3	0	0	0	0	1	0	0	1	0	0	1	"
rrap_ns5_nh3_m2_seed4,1,5,bab,0.00210103,243,370,0.912018,"0	0	3	0	2	0	0	0	1	1	0	0	0	1	0	"
rrap_ns5_nh4_m2_seed1,1,5,bab,0.0907303,1024,6488,0.973101,"0	0	0	3	0	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0	"
rrap_ns5_nh4_m2_seed2,1,5,bab,0.00653628,1024,1302,0.928749,"0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	1	0	1	0	0	"
rrap_ns5_nh4_m2_seed3,1,5,bab,0.010629,1024,1575,0.893551,"0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	"
rrap_ns5_nh4_m2_seed4,1,5,bab,0.0356669,1024,3084,0.956452,"0	0	1	0	0	0	0	1	0	0	4	0	2	0	0	0	0	1	0	0	"
rrap_ns5_nh2_m2_seed1,2,5,bab,0.00673897,32,423,0.986717,"0	1	0	2	1	0	1	1	0	3	"
rrap_ns5_nh2_m2_seed2,2,5,bab,0.00920805,32,633,0.991313,"1	0	0	1	0	2	0	4	2	0	"
rrap_ns5_nh2_m2_seed3,2,5,bab,0.00071641,32,85,0.951587,"0	1	2	0	1	0	2	0	0	2"
rrap_ns5_nh2_m2_seed4,2,5,bab,0.0063454,32,443,0.977514,"1	0	1	2	0	1	0	2	0	2	"
rrap_ns5_nh3_m2_seed1,2,5,bab,0.0510057,243,3980,0.983657,"1	0	0	1	0	0	1	0	0	1	0	3	0	2	0	"
rrap_ns5_nh3_m2_seed2,2,5,bab,0.0172784,243,1612,0.972995,"1	0	0	4	0	0	1	0	0	1	0	0	1	1	0	"
rrap_ns5_nh3_m2_seed3,2,5,bab,0.0130395,243,1183,0.976473,"0	0	1	3	0	0	0	1	0	0	0	1	0	0	3	"
rrap_ns5_nh3_m2_seed4,2,5,bab,0.00231415,243,400,0.92884,"0	0	3	0	2	0	0	0	1	1	0	0	0	1	0	"
rrap_ns5_nh4_m2_seed1,2,5,bab,0.0878248,1024,6550,0.982442,"0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	3	0	0	0	"
rrap_ns5_nh4_m2_seed2,2,5,bab,0.00922107,1024,1267,0.951243,"0	0	0	1	0	3	0	0	1	0	0	0	1	0	0	0	0	2	0	0	"
rrap_ns5_nh4_m2_seed3,2,5,bab,0.0096312,1024,1492,0.928255,"0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0"
rrap_ns5_nh4_m2_seed4,2,5,bab,0.0534554,1024,3180,0.968923,"0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	"
rrap_ns6_nh2_m2_seed1,3,6,bab,0.00570134,64,322,0.962346,"1	0	0	1	0	3	1	0	0	3	0	1	"
rrap_ns6_nh2_m2_seed2,3,6,bab,0.0104852,64,617,0.963122,"0	1	0	1	2	1	0	1	2	0	0	1	"
rrap_ns6_nh2_m2_seed3,3,6,bab,0.00579743,64,318,0.958282,"1	0	1	0	1	0	2	0	4	0	1	0	"
rrap_ns6_nh2_m2_seed4,3,6,bab,0.0510865,64,2237,0.994291,"0	1	1	0	1	0	3	0	5	0	1	0	"
rrap_ns6_nh3_m2_seed1,3,6,bab,0.214149,729,9713,0.976054,"1	0	0	1	0	0	0	1	0	0	0	3	2	0	1	0	0	1	"
rrap_ns6_nh3_m2_seed2,3,6,bab,0.79882,729,31093,0.990065,"0	2	0	0	0	1	0	0	3	1	0	0	4	0	0	0	1	0	"
rrap_ns6_nh3_m2_seed3,3,6,bab,0.199014,729,7496,0.977459,"1	0	0	1	0	0	1	1	0	1	0	0	0	0	4	1	0	0	"
rrap_ns6_nh3_m2_seed4,3,6,bab,0.0565011,729,2885,0.972343,"0	0	1	0	1	0	0	0	2	1	0	0	2	1	0	0	0	1	"
rrap_ns6_nh4_m2_seed1,3,6,bab,0.112857,4096,7044,0.962325,"0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	"
rrap_ns6_nh4_m2_seed2,3,6,bab,0.384796,4096,13545,0.98066,"0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	4	0	0	1	0	0	"
