instance,index_of_system,number_of_subsystems,number_of_component_types,number_of_resource_types,number_of_q_terms,number_of_q_nodes,number_of_q_sorted_nodes,number_of_qr_terms,number_of_qr_nodes,number_of_qr_sorted_nodes,solution_model,number_of_vars,number_of_bin_vars,number_of_cons,number_of_nzs,number_of_bb_nodes,cpu_time,obj,solution
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[Q-BASIC],3034,90,338,9030,3166,1.80349,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3	"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[Q-BASIC],2764,73,321,7836,2656,1.70256,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4	"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[Q-BASIC],2655,70,318,7486,2266,0.867538,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0	"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[Q-BASIC],2794,73,321,7896,2111,0.434976,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2	"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[Q-BASIC],3792,118,490,11361,42679,8.5182,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[Q-BASIC],3943,130,502,12137,46034,9.0966,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5	"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[Q-BASIC],3495,99,471,10059,8014,2.5303,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0	"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[Q-BASIC],3663,113,485,10887,20959,4.57756,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3	"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[Q-BASIC],3927,108,604,10982,7598,3.03448,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[Q-BASIC],3890,106,602,10812,6762,1.58877,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[Q-BASIC],4701,154,650,14282,20589,5.39887,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4	"
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[Q-BASIC],4262,130,626,12516,13711,3.10164,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[Q-TREE],1484,90,192,4938,6365,2.30713,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3	"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[Q-TREE],1296,73,175,4212,3198,1.0368,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4	"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[Q-TREE],1080,70,172,3444,2286,0.758664,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[Q-TREE],1206,73,175,3897,1626,0.569331,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[Q-TREE],1893,118,271,6211,58522,8.6854,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[Q-TREE],2137,130,283,7113,107049,16.0406,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[Q-TREE],1639,99,252,5246,7481,1.61982,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[Q-TREE],1849,113,266,6037,28749,3.2233,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[Q-TREE],1922,108,312,6002,6374,1.48027,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[Q-TREE],1748,106,310,5385,5873,1.1609,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[Q-TREE],2450,154,358,8034,39228,10.4574,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4"
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[Q-TREE],2128,130,334,6811,27477,7.88742,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[Q-OB-TREE],1087,90,166,3676,3904,1.20396,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[Q-OB-TREE],909,73,149,2985,2804,0.724883,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[Q-OB-TREE],837,70,146,2721,1864,0.391192,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[Q-OB-TREE],883,73,149,2894,846,0.371034,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[Q-OB-TREE],1413,118,232,4717,35935,5.59623,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[Q-OB-TREE],1577,130,244,5339,99838,12.2223,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[Q-OB-TREE],1175,99,213,3808,10100,1.208,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[Q-OB-TREE],1405,113,227,4669,23937,3.77126,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[Q-OB-TREE],1365,108,260,4297,12109,2.09826,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[Q-OB-TREE],1317,106,258,4121,6840,1.02492,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[Q-OB-TREE],1909,154,306,6385,23579,5.99046,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4"
