instance,index_of_system,number_of_subsystems,number_of_component_types,number_of_resource_types,number_of_q_terms,number_of_q_nodes,number_of_q_sorted_nodes,number_of_qr_terms,number_of_qr_nodes,number_of_qr_sorted_nodes,solution_model,number_of_vars,number_of_bin_vars,number_of_cons,number_of_nzs,number_of_bb_nodes,cpu_time,obj,solution
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[Q-OB-TREE],1567,130,282,5092,32340,4.76696,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[BASIC],2490,90,342,7956,23983,3.39864,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[BASIC],2171,73,325,6709,9560,1.4116,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[BASIC],1983,70,322,6091,5444,0.78813,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[BASIC],2165,73,325,6671,3702,1.62566,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[BASIC],3241,118,454,10272,295635,33.9894,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[BASIC],3518,130,466,11264,389308,45.8208,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[BASIC],2824,99,435,8694,29440,7.89232,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[BASIC],3015,113,449,9495,115768,12.2785,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[BASIC],3241,108,528,9684,17843,3.22309,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[BASIC],3068,106,526,9173,29685,7.84319,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[BASIC],4100,154,574,12955,210674,33.8981,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4"
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[BASIC],3653,130,550,11333,96585,18.5032,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[TREE],1564,90,249,5167,17818,3.847,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[TREE],1348,73,232,4343,7512,1.13848,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[TREE],1196,70,229,3799,3793,1.15359,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[TREE],1282,73,232,4112,2825,1.02567,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[TREE],2015,118,330,6578,131266,15.5422,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[TREE],2205,130,342,7291,257225,31.6375,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[TREE],1721,99,311,5473,18981,2.88147,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[TREE],1911,113,325,6194,53778,8.56229,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[TREE],1984,108,373,6150,29786,7.33553,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[TREE],1870,106,371,5743,17907,4.2317,0.943447,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[TREE],2560,154,419,8350,149003,25.282,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4"
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[TREE],2234,130,395,7113,104531,20.4234,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns7_nh2_m2_seed1,5,7,2,2,26,51,38,19,53,38,[OB-TREE],1092,90,204,3687,15871,2.55006,0.979989,"0	1	0	4	0	1	0	1	1	0	0	1	0	3"
rrap_ns7_nh2_m2_seed2,5,7,2,2,26,51,38,19,53,38,[OB-TREE],918,73,187,3010,5485,1.32809,0.971894,"0	1	2	1	1	0	1	0	1	0	1	0	0	4"
rrap_ns7_nh2_m2_seed3,5,7,2,2,26,51,38,19,53,38,[OB-TREE],850,70,184,2760,5928,1.04337,0.965982,"1	0	5	0	0	1	0	1	0	1	1	0	2	0"
rrap_ns7_nh2_m2_seed4,5,7,2,2,26,51,38,19,53,38,[OB-TREE],894,73,187,2926,3394,0.840582,0.962525,"0	1	0	4	1	0	1	0	0	1	0	1	1	2"
rrap_ns7_nh3_m2_seed1,5,7,3,2,26,51,38,19,53,38,[OB-TREE],1434,118,270,4784,183434,19.353,0.976296,"0	1	0	0	4	0	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0"
rrap_ns7_nh3_m2_seed2,5,7,3,2,26,51,38,19,53,38,[OB-TREE],1572,130,282,5315,217250,27.2221,0.982698,"1	0	0	0	2	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	5"
rrap_ns7_nh3_m2_seed3,5,7,3,2,26,51,38,19,53,38,[OB-TREE],1236,99,251,4015,25010,4.86607,0.965141,"0	0	1	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	3	0"
rrap_ns7_nh3_m2_seed4,5,7,3,2,26,51,38,19,53,38,[OB-TREE],1398,113,265,4638,51795,9.27329,0.96807,"0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	3"
rrap_ns7_nh4_m2_seed1,5,7,4,2,26,51,38,19,53,38,[OB-TREE],1384,108,298,4357,25916,5.59223,0.952184,"1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0"
rrap_ns7_nh4_m2_seed2,5,7,4,2,26,51,38,19,53,38,[OB-TREE],1324,106,296,4139,27319,2.80721,0.943446,"0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0"
rrap_ns7_nh4_m2_seed3,5,7,4,2,26,51,38,19,53,38,[OB-TREE],1830,154,344,6102,104604,20.5119,0.96873,"0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4"
rrap_ns7_nh4_m2_seed4,5,7,4,2,26,51,38,19,53,38,[OB-TREE],1586,130,320,5152,63990,15.9693,0.974452,"0	2	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[Q-BASIC],10450,85,751,26890,888,1.02448,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[Q-BASIC],9797,65,731,23860,1318,1.6646,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[Q-BASIC],10061,70,736,24842,3029,2.5922,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[Q-BASIC],9956,72,738,24710,1887,1.00943,0.926089,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[Q-BASIC],13007,128,1127,35040,43060,20.3609,0.943807,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[Q-BASIC],13574,143,1142,37428,63199,26.4814,0.964837,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[Q-BASIC],13990,154,1153,39288,50816,18.0333,0.976918,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[Q-BASIC],14617,172,1171,42198,45521,19.1316,0.984801,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[Q-BASIC],13339,117,1449,34058,1422,1.71871,0.927422,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[Q-BASIC],16191,191,1523,46176,266965,82.572,0.970908,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[Q-BASIC],15056,161,1493,41276,9070,4.51077,0.943351,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[Q-BASIC],15381,167,1499,42522,146548,62.8565,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[Q-TREE],2640,85,319,8253,830,0.948331,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[Q-TREE],2362,65,299,7200,1307,1.80187,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[Q-TREE],2516,70,304,7759,3851,2.58663,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[Q-TREE],2298,72,306,7004,1623,1.00596,0.926091,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[Q-TREE],4426,128,479,14102,60870,18.2452,0.943802,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[Q-TREE],4360,143,494,13931,97266,30.963,0.964835,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[Q-TREE],4726,154,505,15256,91798,20.5746,0.976913,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[Q-TREE],5406,172,523,17708,65867,17.4722,0.984792,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[Q-TREE],3910,117,585,11678,1715,2.5863,0.927419,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[Q-TREE],6032,191,659,19401,350758,90.8226,0.970915,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[Q-TREE],5168,161,629,16257,11653,3.07482,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[Q-TREE],5352,167,635,16925,411149,125.094,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[Q-OB-TREE],1984,85,257,6299,769,1.06278,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[Q-OB-TREE],1644,65,237,5029,1653,0.991242,0.9209,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[Q-OB-TREE],1746,70,242,5406,2043,1.64302,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[Q-OB-TREE],1854,72,244,5792,1662,1.49322,0.926091,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[Q-OB-TREE],3163,128,386,10163,39673,8.42459,0.943804,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[Q-OB-TREE],3375,143,401,10965,65126,20.5582,0.96484,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[Q-OB-TREE],3553,154,412,11632,34053,9.19144,0.976916,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[Q-OB-TREE],3887,172,430,12873,63406,15.0335,0.984794,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[Q-OB-TREE],2886,117,461,8715,1888,1.93619,0.927422,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
rrap_ns8_nh4_m2_seed2,6,8,4,2,64,117,86,24,64,49,[Q-OB-TREE],4462,191,535,14527,201107,52.9961,0.970912,"0	3	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1"
rrap_ns8_nh4_m2_seed3,6,8,4,2,64,117,86,24,64,49,[Q-OB-TREE],3888,161,505,12398,10524,2.14445,0.943349,"0	0	3	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0"
rrap_ns8_nh4_m2_seed4,6,8,4,2,64,117,86,24,64,49,[Q-OB-TREE],3868,167,511,12352,114529,42.206,0.959951,"0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	"
rrap_ns8_nh2_m2_seed1,6,8,2,2,64,117,86,24,64,49,[BASIC],3143,85,445,9605,1700,0.875857,0.944712,"4	0	1	0	2	0	0	1	0	1	1	0	0	2	1	0"
rrap_ns8_nh2_m2_seed2,6,8,2,2,64,117,86,24,64,49,[BASIC],2638,65,425,7686,1764,0.718909,0.920896,"2	0	0	1	3	0	0	1	1	0	0	1	0	1	2	0"
rrap_ns8_nh2_m2_seed3,6,8,2,2,64,117,86,24,64,49,[BASIC],2787,70,430,8229,7961,3.52026,0.841437,"0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0"
rrap_ns8_nh2_m2_seed4,6,8,2,2,64,117,86,24,64,49,[BASIC],2737,72,432,8049,3705,1.54624,0.926089,"3	0	0	1	2	0	1	0	1	0	1	0	0	1	2	0"
rrap_ns8_nh3_m2_seed1,6,8,3,2,64,117,86,24,64,49,[BASIC],4491,128,608,13921,105939,19.2217,0.943802,"0	0	2	0	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	0	0	3	0	0"
rrap_ns8_nh3_m2_seed2,6,8,3,2,64,117,86,24,64,49,[BASIC],4886,143,623,15340,329257,64.955,0.964835,"0	2	1	0	0	1	0	0	3	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0"
rrap_ns8_nh3_m2_seed3,6,8,3,2,64,117,86,24,64,49,[BASIC],5332,154,634,16953,138008,34.978,0.976913,"3	0	0	0	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0"
rrap_ns8_nh3_m2_seed4,6,8,3,2,64,117,86,24,64,49,[BASIC],5879,172,652,19072,315197,70.8744,0.984793,"2	2	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0"
rrap_ns8_nh4_m2_seed1,6,8,4,2,64,117,86,24,64,49,[BASIC],4423,117,717,12989,4735,2.09717,0.927419,"0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1"
